"","brand_quality","price","season","return_rate","channel","mean_size","subcategory_0","subcategory_2","category_2","category_3","category_4","category_5"
"1",0,1.57641845718085,1,"0.128708528987439","0",0.893375481445893,0,0,0,1,0,0
"2",0,-0.0645098769219825,1,"0.0769230769230769","1",0.605973564828077,0,0,0,1,0,0
"3",0,0.515815307927386,0,"0.142857142857143","0",-0.420461851664123,0,0,0,0,0,0
"4",0,-0.248032393605403,1,"0","1",2.04298314791716,0,0,0,1,0,0
"5",0,-0.449727590023033,0,"0.0405405405405405","0",0.893375481445893,0,0,0,1,0,0
"6",0,-0.450589535306869,0,"0.5","1",1.0849767591911,0,0,0,1,0,0
"7",0,2.32602353902358,0,"0.200690660384281","0",-0.639434740515791,0,1,0,1,0,0
"8",0,-0.946208073512584,0,"0.0546009718577168","0",0.893375481445893,0,1,0,1,0,0
"9",0,1.13108006053224,0,"0.0379746835443038","0",-0.420461851664123,0,0,0,0,0,0
"10",0,1.64860637470212,1,"0.5","1",-1.07053761544252,1,0,0,0,0,1
"11",0,-0.679005035523416,0,"0.115536658467762","0",-0.06463090728016,0,0,0,1,0,0
"12",0,-0.679902895194078,0,"0.143518518518519","1",-1.78904240698705,0,1,0,1,0,0
"13",0,0.623968918542042,1,"0","1",0.605973564828077,1,0,0,0,0,1
"14",0,-0.245159242659283,0,"0.10922680824774","0",0.605973564828077,0,0,0,1,0,0
"15",0,-0.681159898733005,0,"0.1","0",0.605973564828077,0,0,0,1,0,0
"16",0,0.735303517704196,0,"0.5","1",-1.78904240698705,0,0,0,1,0,0
"17",1,0.249381863941637,1,"0.214285714285714","1",0.605973564828077,0,0,0,1,0,0
"18",0,1.13108006053224,1,"0.205372774423211","0",0.893375481445893,0,0,0,1,0,0
"19",1,1.21488029646073,0,"0","0",-0.831036018261002,0,0,0,1,0,0
"20",0,-0.449152959833809,0,"0","0",-1.78904240698705,0,0,1,0,0,0
"21",0,-0.245159242659283,0,"0.4","1",-1.78904240698705,0,0,1,0,0,0
"22",0,-1.26053078701812,0,"0.144457576699559","1",0.893375481445893,0,1,0,1,0,0
